CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N075,23 ST,11:00:00,154903531.2,1129972.8333333333,800.0666666666667,266.3,1066.3666666666666
N077,23 ST,11:00:00,13934239.4,26520292.9,927.8666666666667,1437.5666666666666,2365.4333333333334
A030,23 ST,11:00:00,129908211.86666666,20112825.233333334,2775.0666666666666,1357.3,4132.366666666667
R226,23 ST,11:00:20,2067144780.0,1739273332.0,8.0,87.0,95.0
R226,23 ST,11:01:40,2067144788.0,1739273419.0,10.0,19.0,29.0
R226,23 ST,11:03:00,2067144798.0,1739273438.0,994.0,1227.0,2221.0
R226A,23 ST,11:04:20,35993052.0,20503106.0,3.0,0.0,3.0
R226A,23 ST,11:05:40,1429627.0,1536291.0,0.0,1.0,1.0
R226A,23 ST,11:07:01,35993055.0,20503107.0,187.0,296.0,483.0
R227,23 ST,11:08:20,36743534.0,19760893.0,13.0,9.0,22.0
R227,23 ST,11:10:21,36743547.0,19760902.0,10.0,22.0,32.0
R227,23 ST,11:11:41,36743557.0,19760924.0,9.0,0.0,9.0
R227,23 ST,11:13:01,36743566.0,19760924.0,10.0,0.0,10.0
R227,23 ST,11:14:21,24519735.0,14128300.0,7.0,0.0,7.0
R227,23 ST,11:15:41,36743583.0,19760924.0,11.0,20.0,31.0
R227,23 ST,11:17:01,24519751.0,14128318.0,11.0,1.0,12.0
R227,23 ST,11:18:21,36743605.0,19760945.0,9.0,0.0,9.0
R227,23 ST,11:19:41,36743614.0,19760945.0,8.0,18.0,26.0
R227,23 ST,11:21:01,36743622.0,19760963.0,11.0,0.0,11.0
R227,23 ST,11:22:21,18216405.0,11780881.0,8.0,0.0,8.0
R227,23 ST,11:23:42,36743641.0,19760963.0,1007.0,434.0,1441.0
R227A,23 ST,11:25:02,10987822.0,5312480.0,6.0,18.0,24.0
R227A,23 ST,11:26:22,10987828.0,5312498.0,8.0,5.0,13.0
R227A,23 ST,11:27:42,10160188.0,4416806.0,3.0,0.0,3.0
R227A,23 ST,11:29:02,10987839.0,5312503.0,4.0,14.0,18.0
