CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R131,23 ST,16:00:00,21112277.230769232,8332280.692307692,2046.6923076923076,663.0,2709.6923076923076
R227A,23 ST,16:00:00,15552756.933333334,9001077.066666666,574.4,489.26666666666665,1063.6666666666667
R132,23 ST,16:00:00,19946342.4,39056890.6,665.5333333333333,1068.8,1734.3333333333333
A031,23 ST,16:00:00,20373762.227272727,16474552.606060605,1814.8939393939395,851.4545454545455,2666.348484848485
N076,23 ST,16:00:00,32611503.123076923,17476684.123076923,2298.523076923077,1143.9846153846154,3442.507692307692
N509,23 ST,16:00:00,23023954.0,16400887.288888888,1869.6,1109.4,2979.0
A030,23 ST,16:00:00,130633925.6119403,20424974.43283582,2922.2388059701493,953.5970149253732,3875.8358208955224
R227,23 ST,17:00:00,39572053.09090909,20848848.060606062,957.0454545454545,312.1515151515151,1269.1969696969697
R226A,23 ST,17:00:00,36585351.313432835,21371040.52238806,178.7910447761194,394.85074626865674,573.6417910447761
R131,23 ST,17:00:00,19653961.46875,7831812.21875,1848.375,544.875,2393.25
R132,23 ST,17:00:00,20921218.285714287,41339304.15873016,602.8571428571429,1107.111111111111,1709.968253968254
R226,23 ST,17:00:00,2068512229.621212,1732800285.3333333,743.2121212121212,700.6515151515151,1443.8636363636363
R227A,23 ST,17:00:00,15695159.676923078,9032596.353846153,469.4769230769231,408.75384615384615,878.2307692307693
N077,23 ST,19:00:00,13929977.933333334,26514004.266666666,858.8666666666667,771.3333333333334,1630.2
N508,23 ST,19:00:00,1184120560.5714285,1250547700.4285715,867.2142857142857,502.85714285714283,1370.0714285714287
N076,23 ST,19:00:00,32077872.6,17182486.466666665,1604.6,731.8666666666667,2336.4666666666667
A030,23 ST,19:00:00,129896315.53333333,20105598.6,1676.8,424.4,2101.2
N075,23 ST,19:00:00,154899333.13333333,1128900.2666666666,379.93333333333334,129.8,509.73333333333335
N509,23 ST,19:00:00,21622830.846153848,15309068.384615384,1074.8461538461538,597.7692307692307,1672.6153846153845
A031,23 ST,19:00:00,20497344.266666666,16708097.2,1063.8666666666666,465.8666666666667,1529.7333333333333
R227,23 ST,19:57:19,42674306.0,22120644.0,153.0,55.0,208.0
A030,23 ST,20:00:00,130636847.85074627,20425928.029850747,1489.0,338.0149253731343,1827.0149253731342
R227,23 ST,20:00:00,39416507.4,20802714.533333335,598.2,182.66666666666666,780.8666666666667
N508,23 ST,20:00:00,1190640920.2131147,1238212702.327869,709.5737704918033,382.4754098360656,1092.049180327869
R226A,23 ST,20:00:00,36267124.538461536,20974613.53846154,99.3076923076923,128.76923076923077,228.07692307692307
R227A,23 ST,20:00:00,15553331.333333334,9001566.333333334,308.06666666666666,184.26666666666668,492.3333333333333
N509,23 ST,20:00:00,23440018.727272727,16666440.636363637,908.8409090909091,470.4318181818182,1379.2727272727273
N077,23 ST,20:00:00,14016760.567164179,26672972.343283582,718.9104477611941,602.9402985074627,1321.8507462686566
R131,23 ST,20:00:00,20467619.714285713,8100516.571428572,944.5714285714286,254.71428571428572,1199.2857142857142
N076,23 ST,20:00:00,32441416.0,17386192.87878788,1290.6060606060605,545.5909090909091,1836.1969696969697
N075,23 ST,20:00:00,155603963.74242425,1015820.8787878788,319.42424242424244,104.12121212121212,423.54545454545456
R132,23 ST,20:00:00,20987970.785714287,41368633.71428572,316.7857142857143,470.7857142857143,787.5714285714286
R226,23 ST,20:00:00,1911256737.857143,1596059176.4285715,382.85714285714283,267.64285714285717,650.5
A031,23 ST,20:00:00,20295131.686567165,16550180.074626865,860.5820895522388,335.2238805970149,1195.8059701492537
R132,23 ST,21:00:00,20181280.029850747,39628687.059701495,235.61194029850745,410.1194029850746,645.7313432835821
R227,23 ST,21:00:00,39365099.25757576,20708775.681818184,501.5151515151515,125.42424242424242,626.939393939394
R226A,23 ST,21:00:00,36585510.059701495,21371375.686567165,84.0,111.61194029850746,195.61194029850745
R131,23 ST,21:00:00,19552747.123076923,7797491.0,917.5846153846154,197.8923076923077,1115.4769230769232
R226,23 ST,21:00:00,2063156887.0151515,1732800981.2121212,342.74242424242425,240.0151515151515,582.7575757575758
R227A,23 ST,21:00:00,15572297.19402985,8977958.402985075,268.05970149253733,136.70149253731344,404.76119402985074
N075,23 ST,23:00:00,154899727.6,1129030.0666666667,157.8,42.13333333333333,199.93333333333334
N076,23 ST,23:00:00,32079477.2,17183218.333333332,607.9333333333333,205.0,812.9333333333333
A030,23 ST,23:00:00,129897992.33333333,20106023.0,506.8666666666667,113.06666666666666,619.9333333333333
N077,23 ST,23:00:00,13930836.8,26514775.6,300.06666666666666,182.06666666666666,482.1333333333333
N509,23 ST,23:00:00,20942002.35714286,15078398.285714285,307.2857142857143,149.71428571428572,457.0
A031,23 ST,23:00:00,20498408.133333333,16708563.066666666,352.6,108.93333333333334,461.53333333333336
N508,23 ST,23:00:00,1226945431.6666667,1295898528.7333333,211.93333333333334,103.26666666666667,315.2
